# Nom du sujet : PJj01
# Prénom : PJj01
# Date de naissance : 01/01/2001
# Date de la séance : 12/04/2024


set1_ani_art_I_18_eq.bmp;Oui;1609 ms;;G;625 ms;
set2_ani_art_I_04_eq.bmp;Oui;703 ms;;G;578 ms;
set2_obj_art_C_16_eq.bmp;Non;406 ms;;G;532 ms;
set1_ani_nat_C_09_eq.bmp;Non;468 ms;;G;344 ms;
set1_ani_art_I_07_eq.bmp;Non;390 ms;;G;391 ms;
set1_obj_art_C_13_eq.bmp;Non;375 ms;;G;484 ms;
set1_ani_art_I_17_eq.bmp;Non;266 ms;;G;578 ms;
set1_obj_art_C_03_eq.bmp;Non;687 ms;;G;609 ms;
set2_obj_art_C_03_eq.bmp;Oui;437 ms;;G;656 ms;
set1_obj_art_C_12_eq.bmp;Non;609 ms;;G;906 ms;
set2_obj_nat_I_02_eq.bmp;Non;531 ms;;G;547 ms;
set2_obj_nat_I_16_eq.bmp;Non;375 ms;;G;438 ms;
set1_ani_nat_C_10_eq.bmp;Oui;468 ms;;G;578 ms;
set2_ani_nat_C_02_eq.bmp;Oui;422 ms;;G;453 ms;
set1_obj_nat_I_06_eq.bmp;Non;265 ms;;G;421 ms;
set1_obj_nat_I_02_eq.bmp;Non;344 ms;;G;375 ms;
set2_ani_nat_C_13_eq.bmp;Oui;297 ms;;G;672 ms;
set2_ani_art_I_11_eq.bmp;Oui;375 ms;;K;515 ms;
set1_ani_art_I_14_eq.bmp;Non;422 ms;;G;562 ms;
set1_ani_art_I_09_eq.bmp;Non;344 ms;;G;438 ms;
set2_ani_nat_C_09_eq.bmp;Oui;375 ms;;G;1171 ms;
set2_ani_nat_C_11_eq.bmp;Oui;516 ms;;G;546 ms;
set1_ani_nat_C_11_eq.bmp;Oui;563 ms;;G;531 ms;
set2_obj_art_C_13_eq.bmp;Non;375 ms;;G;625 ms;
Fin du bloc
